bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_10,1.2380952380952381,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,8.1e-06,0.257371,0,0,0,44,0,0,0,0,1.5560999745503068,68,0.738300004741177,42,0.5305000086082146,68,1.1296999728074297,52
0_low_blowup,nonogram,nonogram_10,1.2380952380952381,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,9.5e-06,0.229449,0,0,0,44,0,0,0,0,1.5560999745503068,68,0.738300004741177,42,0.5305000086082146,68,1.1296999728074297,52
0_low_blowup,nonogram,nonogram_10,1.2380952380952381,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0003943,0.227355,1,1,0,678,1,1,1,0,1.5560999745503068,68,0.738300004741177,42,0.5305000086082146,68,1.1296999728074297,52
0_low_blowup,nonogram,nonogram_13,1.135135135135135,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0008532,0.233989,3,0,0,128,0,0,0,0,4.96259999636095,222,3.518199999234639,148,1.1431999446358532,222,4.989499997464009,168
0_low_blowup,nonogram,nonogram_13,1.135135135135135,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0011488,0.241793,3,0,0,128,0,0,0,0,4.96259999636095,222,3.518199999234639,148,1.1431999446358532,222,4.989499997464009,168
0_low_blowup,nonogram,nonogram_13,1.135135135135135,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0122064,0.258467,39,26,0,16680,26,7.423076923076923,2.192307692307693,0,4.96259999636095,222,3.518199999234639,148,1.1431999446358532,222,4.989499997464009,168
0_low_blowup,nonogram,nonogram_14,1.2173913043478262,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0001518,0.230535,1,0,0,72,0,0,0,0,2.9649000498466194,109,1.6613000188954175,69,0.8153000235324726,109,2.0934999774908647,84
0_low_blowup,nonogram,nonogram_14,1.2173913043478262,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0002869,0.230268,1,0,0,72,0,0,0,0,2.9649000498466194,109,1.6613000188954175,69,0.8153000235324726,109,2.0934999774908647,84
0_low_blowup,nonogram,nonogram_14,1.2173913043478262,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0002999,0.231221,1,0,0,1428,0,0,0,0,2.9649000498466194,109,1.6613000188954175,69,0.8153000235324726,109,2.0934999774908647,84
0_low_blowup,nonogram,nonogram_15,1.1923076923076923,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0004551,0.247701,2,0,0,70,0,0,0,0,6.879800028400496,121,3.9757000195095316,78,5.112300015753135,121,4.251300008036196,93
0_low_blowup,nonogram,nonogram_15,1.1923076923076923,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0004688,0.266924,2,0,0,70,0,0,0,0,6.879800028400496,121,3.9757000195095316,78,5.112300015753135,121,4.251300008036196,93
0_low_blowup,nonogram,nonogram_15,1.1923076923076923,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.000649,0.246391,4,1,0,1591,1,2,2,0,6.879800028400496,121,3.9757000195095316,78,5.112300015753135,121,4.251300008036196,93
0_low_blowup,nonogram,nonogram_17,1.131578947368421,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.19e-05,0.269635,0,0,0,119,0,0,0,0,4.613799988874234,222,3.3151000243378803,152,1.057000015862286,222,4.890599986538291,172
0_low_blowup,nonogram,nonogram_17,1.131578947368421,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,8.7e-06,0.265528,0,0,0,119,0,0,0,0,4.613799988874234,222,3.3151000243378803,152,1.057000015862286,222,4.890599986538291,172
0_low_blowup,nonogram,nonogram_17,1.131578947368421,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.75e-05,0.261032,0,0,0,3287,0,0,0,0,4.613799988874234,222,3.3151000243378803,152,1.057000015862286,222,4.890599986538291,172
0_low_blowup,nonogram,nonogram_21,1.0523012552301256,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.253342,0.270911,26,17,0,2039,17,17.52941176470588,5.941176470588236,0,25.409500041860156,1342,55.8700000110548,956,6.342899985611439,1342,62.50830001954455,1006
0_low_blowup,nonogram,nonogram_21,1.0523012552301256,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2582008,0.280988,26,17,0,2041,17,17.52941176470588,5.941176470588236,0,25.409500041860156,1342,55.8700000110548,956,6.342899985611439,1342,62.50830001954455,1006
0_low_blowup,nonogram,nonogram_21,1.0523012552301256,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,3.6932376,0.387903,3081,2151,0,2904429,2151,109.5746164574616,12.3812180381218,0,25.409500041860156,1342,55.8700000110548,956,6.342899985611439,1342,62.50830001954455,1006
0_low_blowup,nonogram,nonogram_26,1.0833333333333333,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,8.2e-06,0.236044,0,0,0,233,0,0,0,0,9.549999987939373,514,11.581599959754385,360,2.3444999824278057,514,14.785700011998415,390
0_low_blowup,nonogram,nonogram_26,1.0833333333333333,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,9.9e-06,0.244222,0,0,0,233,0,0,0,0,9.549999987939373,514,11.581599959754385,360,2.3444999824278057,514,14.785700011998415,390
0_low_blowup,nonogram,nonogram_26,1.0833333333333333,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.002091,0.262108,3,1,0,8842,1,1,1,0,9.549999987939373,514,11.581599959754385,360,2.3444999824278057,514,14.785700011998415,390
0_low_blowup,nonogram,nonogram_29,1.1101321585903083,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003638,0.231716,1,0,0,189,0,0,0,0,6.504100019810721,327,5.847500025993213,227,1.5757999935885891,327,7.636100024683401,252
0_low_blowup,nonogram,nonogram_29,1.1101321585903083,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0006065,0.242614,1,0,0,189,0,0,0,0,6.504100019810721,327,5.847500025993213,227,1.5757999935885891,327,7.636100024683401,252
0_low_blowup,nonogram,nonogram_29,1.1101321585903083,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0009854,0.245688,10,3,0,6079,3,2.333333333333333,2,0,6.504100019810721,327,5.847500025993213,227,1.5757999935885891,327,7.636100024683401,252
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0182111,0.242922,19,4,0,494,4,12.25,8,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0164247,0.249611,19,4,0,494,4,12.25,8,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0164799,0.288163,109,46,0,39129,46,8.58695652173913,4.043478260869565,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_37,1.2,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003055,0.243394,1,0,0,80,0,0,0,0,2.2246999869821593,113,1.1960999836446717,75,0.5398000357672572,113,1.9825000199489295,90
