bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,layered_multigraph_sync_ms,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,252.8292062,13.5396,10710,9827,0,678588,9827,33.803907601506054,8.376920728604864,0,108154.2738,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,230.3395717,0.462755,9860,9048,0,626926,9048,33.44661803713528,8.293987621573828,0,96424.3275,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,35.1323463,0.861083,9383,8313,0,11860000,8313,70.77878022374594,8.860339227715626,0,,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_13,1.04704875962361,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.8396824,0.444236,80,69,0,4296,69,10.159420289855072,4.753623188405797,0,344.3871,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_13,1.04704875962361,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.8271007,0.39977,80,69,0,4300,69,10.159420289855072,4.753623188405797,0,331.4853,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_13,1.04704875962361,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.1476525,0.597854,202,117,0,147877,117,26.521367521367523,4.7094017094017095,0,,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_14,1.0431344356578,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.3167011,0.383948,22,10,0,1518,10,7.3,4.2,0,157.1258,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_14,1.0431344356578,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.3046863,0.37797,22,10,0,1518,10,7.3,4.2,0,155.4292,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_14,1.0431344356578,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.4161752,0.644691,384,197,0,317116,197,63.55329949238579,7.766497461928934,0,,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_15,1.0515463917525774,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1642563,0.433584,21,13,0,1322,13,4.538461538461538,2.3846153846153846,0,107.3639,24.707500000886284,1356,64.26219999957539,970,6.172499999365755,1356,60.94169999937549,1020
0_low_blowup,nonogram,nonogram_15,1.0515463917525774,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.159116,0.331462,21,13,0,1322,13,4.538461538461538,2.3846153846153846,0,103.4504,24.707500000886284,1356,64.26219999957539,970,6.172499999365755,1356,60.94169999937549,1020
